City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
355,strezhevoy,20,RU,1548901800,72,60.73,77.6,-43.61,2.24
356,narsaq,0,GL,1548899400,41,60.91,-46.05,21.2,6.93
357,pecos,1,US,1548900900,38,31.42,-103.49,44.06,7.65
358,santa marta,20,CO,1548900000,58,11.24,-74.21,82.4,16.11
359,zhigansk,0,RU,1548903375,0,66.77,123.37,-45.13,3.4
360,tiksi,48,RU,1548903332,57,71.64,128.87,-32.62,8.32
361,nador,92,MA,1548901800,77,35.17,-2.93,59.0,8.05
362,havoysund,44,NO,1548901200,67,71.0,24.66,17.6,40.26
363,nazarovo,48,RU,1548903651,74,56.01,90.42,-0.22,7.65
364,bezhanitsy,80,RU,1548903651,86,56.97,29.88,22.64,3.18
365,roela,80,EE,1548903651,90,59.17,26.59,25.61,5.19
366,kibala,0,TD,1548900000,15,9.11,18.35,77.0,6.93
367,zaraza,0,VE,1548903652,71,9.35,-65.33,76.55,12.01
368,lexington,90,US,1548902100,54,38.05,-84.5,8.6,4.7
369,axim,0,GH,1548903652,99,4.87,-2.24,81.95,10.78
370,itoman,75,JP,1548901800,64,26.12,127.67,75.74,16.11
371,mitu,44,IR,1548903282,86,36.2,46.09,20.98,2.62
372,kamphaeng phet,8,TH,1548903653,56,16.47,99.53,86.45,3.85
373,priargunsk,48,RU,1548903654,49,50.37,119.09,7.79,11.01
374,celestun,0,MX,1548903654,98,20.87,-90.4,72.86,22.41
375,alta floresta,56,BR,1548903655,90,-9.87,-56.08,75.88,1.95
376,pizarro,24,CO,1548903655,95,4.95,-77.37,78.04,4.52
377,hajiganj,0,BD,1548903655,71,23.25,90.85,66.34,8.66
378,barbastro,76,ES,1548901800,100,42.04,0.13,39.2,3.36
379,riyadh,0,SA,1548900000,47,24.63,46.72,57.2,2.24
380,fonte boa,8,BR,1548903656,95,-2.51,-66.09,77.18,3.62
381,jumla,92,NP,1548903656,97,29.28,82.18,25.07,1.61
